ROC_AUC,PR_AUC,MCC,Balanced_Accuracy,F1,Sensitivity,Specificity,Set,Country,N,Inner_best_AUC,Best_params
0.9266399769292101,0.9649268062445187,0.6791601429968408,0.8464604997540247,0.8942598187311178,0.8774703557312253,0.8154506437768241,ExtendedStrict,Cambodia,1478,0.9282228036888998,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.05, ""max_depth"": 3, ""min_child_weight"": 1, ""n_estimators"": 150, ""reg_alpha"": 0, ""reg_lambda"": 1, ""subsample"": 0.85}"
0.979185825693822,0.9532823394768324,0.8256992496772061,0.8961614467354946,0.8695652173913043,0.8167770419426048,0.9755458515283842,ExtendedStrict,Laos,1598,0.9018127191687264,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.05, ""max_depth"": 4, ""min_child_weight"": 1, ""n_estimators"": 150, ""reg_alpha"": 0, ""reg_lambda"": 1, ""subsample"": 0.85}"
0.6228113399691206,0.5134208201203765,0.25705261314945616,0.6056587215550456,0.6567944250871081,0.9040767386091128,0.30724070450097846,ExtendedStrict,Myanmar,928,0.9604480862000188,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.05, ""max_depth"": 4, ""min_child_weight"": 1, ""n_estimators"": 150, ""reg_alpha"": 0, ""reg_lambda"": 1, ""subsample"": 0.85}"
0.7594928644240571,0.6846570074747825,0.33257460899937435,0.6608592095977417,0.6,0.908256880733945,0.41346153846153844,ExtendedStrict,Thailand,951,0.9407730024991089,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.05, ""max_depth"": 3, ""min_child_weight"": 1, ""n_estimators"": 150, ""reg_alpha"": 0, ""reg_lambda"": 1, ""subsample"": 0.85}"
0.9678640836598081,0.9922681411492422,0.7029661345390465,0.8874958986166068,0.9283738087918845,0.8913813459268005,0.8836104513064132,ExtendedStrict,Vietnam,2115,0.9129615590866731,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.05, ""max_depth"": 4, ""min_child_weight"": 1, ""n_estimators"": 150, ""reg_alpha"": 0, ""reg_lambda"": 1, ""subsample"": 0.85}"
