sample	Chloroquine	Pyrimethamine	Sulfadoxine	Mefloquine	Artemisinin	Piperaquine	SP (uncomplicated)	SP (IPTp)	AS-MQ	DHA-PPQ
SPT17937	Resistant	Undetermined	Undetermined	Sensitive	Sensitive	Sensitive	Undetermined	Sensitive	Sensitive	Sensitive
SPT17938	Sensitive	Resistant	Resistant	Undetermined	Undetermined	Undetermined	Resistant	Sensitive	Undetermined	Undetermined
SPT17940	Sensitive	Resistant	Undetermined	Undetermined	Undetermined	Undetermined	Resistant	Sensitive	Undetermined	Undetermined
SPT17941	Resistant	Resistant	Resistant	Sensitive	Undetermined	Undetermined	Resistant	Sensitive	Sensitive	Undetermined
SPT17942	Sensitive	Resistant	Resistant	Undetermined	Undetermined	Undetermined	Resistant	Sensitive	Undetermined	Undetermined
SPT17943	Sensitive	Undetermined	Resistant	Sensitive	Undetermined	Undetermined	Undetermined	Sensitive	Sensitive	Undetermined
SPT17944	Sensitive	Sensitive	Resistant	Undetermined	Undetermined	Undetermined	Sensitive	Sensitive	Undetermined	Undetermined
SPT17945	Sensitive	Resistant	Resistant	Sensitive	Undetermined	Sensitive	Resistant	Sensitive	Sensitive	Sensitive
SPT17947	Resistant	Resistant	Sensitive	Undetermined	Undetermined	Undetermined	Resistant	Sensitive	Undetermined	Undetermined
SPT17949	Sensitive	Resistant	Resistant	Undetermined	Undetermined	Undetermined	Resistant	Sensitive	Undetermined	Undetermined
SPT17950	Sensitive	Sensitive	Undetermined	Undetermined	Undetermined	Undetermined	Sensitive	Sensitive	Undetermined	Undetermined
SPT17951	Sensitive	Undetermined	Resistant	Undetermined	Undetermined	Undetermined	Sensitive	Sensitive	Undetermined	Undetermined
SPT17952	Sensitive	Resistant	Resistant	Undetermined	Undetermined	Undetermined	Resistant	Sensitive	Undetermined	Undetermined
SPT17954	Sensitive	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Sensitive	Sensitive	Undetermined	Undetermined
SPT17955	Sensitive	Resistant	Resistant	Sensitive	Undetermined	Undetermined	Resistant	Sensitive	Sensitive	Undetermined
SPT17956	Sensitive	Resistant	Resistant	Sensitive	Sensitive	Sensitive	Resistant	Sensitive	Sensitive	Sensitive
SPT17958	Sensitive	Sensitive	Sensitive	Undetermined	Undetermined	Sensitive	Sensitive	Sensitive	Undetermined	Sensitive
SPT17960	Sensitive	Resistant	Resistant	Sensitive	Sensitive	Sensitive	Resistant	Sensitive	Sensitive	Sensitive
SPT17963	Undetermined	Resistant	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined
SPT17965	Sensitive	Sensitive	Resistant	Sensitive	Undetermined	Undetermined	Sensitive	Sensitive	Sensitive	Undetermined
SPT17966	Sensitive	Resistant	Resistant	Sensitive	Undetermined	Undetermined	Resistant	Sensitive	Sensitive	Undetermined
SPT17969	Sensitive	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Sensitive	Sensitive	Undetermined	Undetermined
SPT17970	Sensitive	Resistant	Resistant	Undetermined	Undetermined	Undetermined	Resistant	Sensitive	Undetermined	Undetermined
SPT17972	Sensitive	Resistant	Resistant	Undetermined	Undetermined	Undetermined	Resistant	Sensitive	Undetermined	Undetermined
SPT17975	Sensitive	Resistant	Resistant	Undetermined	Undetermined	Undetermined	Sensitive	Sensitive	Undetermined	Undetermined
SPT17978	Sensitive	Resistant	Resistant	Sensitive	Undetermined	Undetermined	Resistant	Sensitive	Sensitive	Undetermined
SPT17981	Sensitive	Undetermined	Undetermined	Sensitive	Undetermined	Undetermined	Undetermined	Sensitive	Sensitive	Undetermined
SPT17987	Sensitive	Sensitive	Undetermined	Undetermined	Undetermined	Undetermined	Sensitive	Sensitive	Undetermined	Undetermined
SPT17989	Sensitive	Undetermined	Resistant	Undetermined	Undetermined	Undetermined	Sensitive	Sensitive	Undetermined	Undetermined
SPT17990	Sensitive	Sensitive	Resistant	Sensitive	Undetermined	Undetermined	Sensitive	Sensitive	Sensitive	Undetermined
