ROC_AUC,PR_AUC,MCC,Balanced_Accuracy,Accuracy,Precision,Sensitivity,Specificity,F1,Set,Model,Fold,N_test,Inner_best_AUC
0.9745100443055658,0.9938688836431558,0.7693477067278385,0.8672572174736134,0.928135593220339,0.9421965317919077,0.9694137638062872,0.7651006711409396,0.9556113902847572,Full,XGBoost,1,1475,0.923366482726562
0.9798288460324476,0.9694699588923834,0.8853513282452009,0.9342824790101636,0.9499341238471674,0.9545454545454546,0.8891129032258065,0.9794520547945206,0.9206680584551148,Full,XGBoost,2,1518,0.9073739697657244
0.9478435860182496,0.9649680926867754,0.7422937726424556,0.8744902822644707,0.8755555555555555,0.9127686472819216,0.879415347137637,0.8695652173913043,0.8957816377171216,Full,XGBoost,3,1350,0.9383986362244952
0.9317860861642588,0.9431509156075216,0.6964591012145119,0.8462010282441754,0.8487848784878488,0.8384,0.8866328257191202,0.8057692307692308,0.8618421052631579,Full,XGBoost,4,1111,0.9383819049971128
0.8056387913549155,0.8401433339412693,0.4392269027507714,0.7195816558511192,0.7196782178217822,0.7212121212121212,0.7273838630806846,0.7117794486215538,0.7242848447961047,Full,XGBoost,5,1616,0.963533881266764
