ROC_AUC,PR_AUC,MCC,Balanced_Accuracy,Accuracy,Precision,Sensitivity,Specificity,F1,Set,Model,Fold,N_test,Inner_best_AUC
0.9817788371071944,0.9957900495210116,0.7402887273163903,0.8458699457727245,0.92,0.9322448979591836,0.9702633814783348,0.7214765100671141,0.9508742714404664,Strict,XGBoost,1,1475,0.9026872055098456
0.9804749147781076,0.9663931603767202,0.8517576962442123,0.9157368537339814,0.9354413702239788,0.9383259911894272,0.8588709677419355,0.9726027397260274,0.8968421052631579,Strict,XGBoost,2,1518,0.8945754557963527
0.9284069637055644,0.9538891289070496,0.6553364926518577,0.8333064707385756,0.8303703703703704,0.8925729442970822,0.8197320341047503,0.8468809073724007,0.8546031746031746,Strict,XGBoost,3,1350,0.9355178269371376
0.9181162957178184,0.9314112653484242,0.6690358546853952,0.82681407002473,0.8325832583258326,0.7982326951399117,0.9170896785109984,0.7365384615384616,0.8535433070866142,Strict,XGBoost,4,1111,0.9320404091905335
0.8178698580191309,0.8411800957947074,0.4177011531102518,0.7080123903891758,0.7085396039603961,0.6969353007945517,0.7506112469437652,0.6654135338345865,0.7227781047675103,Strict,XGBoost,5,1616,0.9543054525670792
