ROC_AUC,PR_AUC,MCC,Balanced_Accuracy,Accuracy,Precision,Sensitivity,Specificity,F1,Set,Model,Fold,N_test,Inner_best_AUC
0.9822150502072724,0.9958653280629122,0.7495938398502242,0.8513283116557281,0.9227118644067795,0.9345870809484872,0.9711129991503824,0.7315436241610739,0.9525,ExtendedStrict,XGBoost,1,1475,0.9031411088717464
0.979831805125939,0.9634569819242558,0.8212326950849136,0.8955755634114009,0.922266139657444,0.935483870967742,0.8185483870967742,0.9726027397260274,0.8731182795698925,ExtendedStrict,XGBoost,2,1518,0.8999951190687212
0.924970470333334,0.9515156610702328,0.6291790121900639,0.8203272324543125,0.817037037037037,0.8836898395721925,0.805115712545676,0.8355387523629489,0.8425748884639898,ExtendedStrict,XGBoost,3,1350,0.9344621815604008
0.9226880775738644,0.9357382822150236,0.6596328642976632,0.8240075491344527,0.828982898289829,0.8015037593984963,0.9018612521150592,0.7461538461538462,0.8487261146496815,ExtendedStrict,XGBoost,4,1111,0.9277546167040546
0.849245669185188,0.8613206839213822,0.4596390687179641,0.7268890441262079,0.7258663366336634,0.7761413843888071,0.6442542787286064,0.8095238095238095,0.7040748162992652,ExtendedStrict,XGBoost,5,1616,0.9504820255918108
